Year_Month,Travel_Mode,Card_type,Trip
2017-09,Ferry,Concession,27929
2017-09,Ferry,Day Pass without SAF,1
2017-09,Ferry,Employee,4735
2017-09,Ferry,Free Travel,2164
2017-09,Ferry,School Student,1626
2017-09,Ferry,Senior/Pensioner,172131
2017-09,Ferry,Sgl Trip Ferry Adult,51151
2017-09,Ferry,Sgl Trip Ferry Child/Youth,12129
2017-09,Light rail,Adult,557826
2017-09,Light rail,Child/Youth,36029
2017-09,Light rail,Concession,29661
2017-09,Light rail,Free Travel,789
2017-09,Light rail,School Student,4709
2017-09,Light rail,Senior/Pensioner,130108
2017-09,Light rail,Sgl Trip LR Adult,4194
2017-09,Light rail,Sgl Trip LR Child/Youth,899
2017-09,Train,Adult,24295203
2017-09,Train,Child/Youth,1219264
2017-09,Train,Concession,2208678
2017-09,Train,Day Pass Child/Youth w/o SAF,28
2017-09,Train,Day Pass without SAF,174
2017-09,Train,Employee,284062
2017-09,Train,Free Travel,30029
2017-09,Train,School Student,819372
2017-09,Train,Senior/Pensioner,2805731
2017-09,Train,Sgl Trip Rail Adult,330192
2017-09,Train,Sgl Trip Rail Child/Youth,74585
2017-10,Bus,Adult,14493838
2017-10,Bus,Adult Single Bus Trip 1,154191
2017-10,Bus,Adult Single Bus Trip 2,88281
2017-10,Bus,Adult Single Bus Trip 3,32576
2017-10,Bus,Child/Youth,1262367
2017-10,Bus,Child/Youth Single Bus Trip 1,42773
2017-10,Bus,Child/Youth Single Bus Trip 2,31260
2017-10,Bus,Child/Youth Single Bus Trip 3,8908
2017-10,Bus,Concession,1841943
2017-10,Bus,Day Pass Child/Youth w/o SAF,20
2017-10,Bus,Day Pass without SAF,76
2017-10,Bus,Employee,71545
2017-10,Bus,Free Travel,39006
2017-10,Bus,School Student,2060482
2017-10,Bus,Senior/Pensioner,4107245
2017-10,Ferry,Adult,897449
2017-10,Ferry,CTP,2459
2017-10,Ferry,Child/Youth,115643
2017-10,Ferry,Concession,25454
2017-10,Ferry,Day Pass without SAF,1
2017-10,Ferry,Employee,5098
2017-10,Ferry,Free Travel,2145
2017-10,Ferry,School Student,1718
2017-10,Ferry,Senior/Pensioner,183390
2017-10,Ferry,Sgl Trip Ferry Adult,58384
2017-10,Ferry,Sgl Trip Ferry Child/Youth,11756
2017-10,Light rail,Adult,628033
2017-10,Light rail,Child/Youth,38062
2017-10,Light rail,Concession,30368
2017-10,Light rail,Free Travel,946
2017-10,Light rail,School Student,4544
2017-10,Light rail,Senior/Pensioner,144853
2017-10,Light rail,Sgl Trip LR Adult,4756
2017-10,Light rail,Sgl Trip LR Child/Youth,899
2017-10,Train,Adult,25069317
2017-10,Train,Child/Youth,1167816
2017-10,Train,Concession,2229618
2017-10,Train,Day Pass Child/Youth w/o SAF,7
2017-10,Train,Day Pass without SAF,73
2017-10,Train,Employee,285686
2017-10,Train,Free Travel,30517
2017-10,Train,School Student,824499
2017-10,Train,Senior/Pensioner,2880156
2017-10,Train,Sgl Trip Rail Adult,351369
2017-10,Train,Sgl Trip Rail Child/Youth,71176
2017-11,Bus,Adult,14927209
2017-11,Bus,Adult Single Bus Trip 1,152433
2017-11,Bus,Adult Single Bus Trip 2,86713
2017-11,Bus,Adult Single Bus Trip 3,31905
2017-11,Bus,Child/Youth,1175200
2017-11,Bus,Child/Youth Single Bus Trip 1,36062
2017-11,Bus,Child/Youth Single Bus Trip 2,23996
2017-11,Bus,Child/Youth Single Bus Trip 3,6816
2017-11,Bus,Concession,1473370
2017-11,Bus,Day Pass without SAF,1
2017-11,Bus,Employee,74772
2017-11,Bus,Free Travel,39917
2017-11,Bus,School Student,2589339
